question,choices,answer_key,cot_response,predicted
What country has with the capital of Amsterdam has a Fortis bank?,"['netherlands', 'utrecht', 'brussels', 'belgium', 'denmark']",A,"A: The answer must be the country with Amsterdam and Fortis bank. Of the above choices, the netherlands is the only country with Amsterdam and Fortis bank. So the answer is (a).",A
Where do kids play with a ball that is concrete?,"['street', 'soccer field', 'soccer game', 'central park', 'pool table']",A,"A: The answer must be a place where kids play with a ball. Of the above choices, the street is the most place where kids play with a ball. So the answer is (a).",A
Jimmy didn't like going to the party.  It seemed like the guys there did nothing but what?,"['dance', 'getting drunk', 'meet new people', 'having fun', 'have fun']",B,"A: The answer should be something that people do a lot of that Jimmy didn't like. Of the above choices, getting drunk is something that people do a lot of that Jimmy might have a lot of. So the answer is (b).",B
Where does a person need to get when they have more kids?,"['compliments', 'understand themselves', 'life partner', 'second chances', 'larger house']",E,"A: The answer must be a place that can house more people. Of the above choices, only a larger house can house more people. So the answer is (e).",E
Where would a special ficus be found?,"['botanical garden', ""doctor's office"", 'in a sea', 'public place', 'arboretum']",A,"A: The answer must be a place where special, and most of the above choices are. Of the above choices, botanical garden and arboretum are the most special. So the answer is (a).",A
"James is apply for a job that he really wants. He knows that it will be a good fit and he has experience, but he doesn't have all the qualifications that they're asking for, so he's worried about what?","['acceptance', 'rejection', 'hope', 'less sleep', 'employment']",B,"A: The answer should be something that James is worried about in the job apply. Of the above choices, rejection is the most natural feeling for someone worried about a job they might be less fit for. So the answer is (b).",B
What is a sign that you might not be living soon?,"['growing older', 'reproducing', 'shuddering', 'perspiration', 'palpitations']",E,"A: The answer should be a sign of a soon to be, not a living, someone. Of the above choices, palpitations are a sign of a soon to be, not a living, someone. So the answer is (e).",E
For convenience some customers want things straight to the doorstep and use what?,"['mail orders', 'demand satisfaction', 'place money on counter', 'pay merchants with money', 'spend money']",A,"A: The answer must be something that makes it convenience to have things straight to the doorstep. Of the above choices, mail orders is the only answer that makes sense. So the answer is (a).",A
"What is a great, but non-specific, overall benefit of exercise?","['good health', 'heart attacks', 'relaxation', 'rest', 'fatigue']",A,"A: The answer should be a good, but non-specific, overall benefit of exercise. Of the above choices, good health is a good, but non-specific, overall benefit of exercise. So the answer is (a).",A
Where does a spoon go on one side of a plate?,"['bowl of soup', 'serving dish', 'table setting', 'placemat', 'glass of iced tea']",C,"A: The answer must be a place where a spoon is placed on one side of a plate. Of the above choices, table setting is the most natural place for a spoon to be placed on one side of a plate. So the answer is (c).",C
Where is a note likely to indicate a melody?,"['fridge', 'a classroom', 'envelope', 'medical chart', 'sheet music']",E,"A: The answer must be a place where music is likely to be. Of the above choices, sheet music is where a note is likely to indicate a melody. So the answer is (e).",E
Where would you be going if using a parking lot near a roller coaster?,"['farm', 'business district', 'car', 'amusement park', 'urban area']",D,"A: The answer must be a place where roller coaster are. Of the above choices, only amusement park have roller coaster. So the answer is (d).",D
What does a virus primarily do to a person?,"['infect', 'reproduce', 'mutate', 'eat food', 'make computer malfunction']",A,"A: The answer must be the most natural and most used to do something to a person. Of the above choices, infect is the most natural and most used to do something to a person. So the answer is (a).",A
Where would you go if you didn't feel like baking a cake yourself?,"['theater', 'refrigerator', 'bakery', 'grocery store', 'oven']",C,"A: The answer must be a place where you can go to and have a cake. Of the above choices, only bakery makes sense. So the answer is (c).",C
Where are floors kept clean for holy purposes?,"['restaurant', 'basement', 'all buildings', 'carpet', 'synagogue']",E,"A: The answer must be a place where floors are kept clean for holy purposes. Of the above choices, only synagogue is a place of holy purposes. So the answer is (e).",E
Where will a bullet projectile be found during a war?,"['battle field', 'museum', 'weapon', 'canon', 'tornado']",A,"A: The answer must be a place where a bullet projectile is found during a war. Of the above choices, battle field is the most natural place to be. So the answer is (a).",A
"Many addicts turn to exercise to deal with their addictions, this is because it is a healthy way to do what?","['condition heart', 'expend energy', 'laugh', 'stretch', 'weigh']",B,"A: The answer should be something that exercise can do to deal with the feeling of an addicts. Of the above choices, expend energy is the closest to the feeling of an addicts. So the answer is (b).",B
What do rich people like in terms of bagels?,"['poor', 'sleepy', 'plain', 'needy', 'homeless']",C,"A: The answer should be a rich people's like in terms of bagels. Of the above choices, plain is the most like a rich people's like. So the answer is (c).",C
How can you get in shape if there is no land nearby?,"['swim', 'jog', 'excercise', 'work out', 'rock climb']",A,"A: The answer must be an excercise that can be used if there is no land nearby. Of the above choices, only swim can be used in the place of land. So the answer is (a).",A
What might a person receive from their boss if they do a poor job?,"['misfortune', 'fearful', 'criticism', 'make mistakes', 'promotion appraisal']",C,"A: The answer should be something a boss might give to someone who is doing a poor job. Of the above choices, criticism is the most sense. So the answer is (c).",C
The cabinets were imported from the south. John bought they because he knew that they would look good.  Where might they be installed?,"['kitchen', 'pantry', 'containing pots and pans', 'in a flight', 'mexico']",A,"A: The answer must be a place where cabinets are installed. Of the above choices, kitchen and pantry are the most natural place for cabinets. So the answer is (a).",A
What are ai machines known for doing?,"['fly', 'milk cows', 'eat', 'answering questions', 'fail to work']",D,"A: The answer must be something that ai machines are known for doing. Of the above choices, answering questions is something ai machines are known for. So the answer is (d).",D
"Bob and Boris were standing in a queue at the grocery store.  They were standing in place.  The line was fast, but the children in front of them were loud.   They were what?","['frustration', 'being annoyed', 'delays', 'irritation', 'out of order']",B,"A: The answer should be the feeling of Bob and Boris in the grocery store line. Of the above choices, being annoyed is the closest feeling to the story. So the answer is (b).",B
A blowfish lives free. He lives on his own. Where does he live?,"['fish market', 'pet shop', 'great outdoors', 'river', 'little mermaid']",C,"A: The answer must be a place where a blowfish lives in the natural habitat. Of the above choices, the great outdoors is the most natural habitat for a blowfish. So the answer is (c).",C
Where is a paper notice likely to be left on a house?,"['front door', 'conference', 'classroom', 'refrigerator', 'suitcase']",A,"A: The answer must be a place where a paper notice can be left on a house. Of the above choices, the front door is the most likely place. So the answer is (a).",A
"People are purposefully harming others, what trait are they exhibiting?","['deceptive', 'altruistic', 'stupid', 'cruel', 'agressive']",D,"A: The answer must be a trait that is used to purposefully harming others. Of the above choices, cruel is the most closest to the trait of purposefully harming others. So the answer is (d).",D
The child pounded his mitt in excitement while enjoying his first game in the bleachers where?,"['football stadium', 'laboratory', 'baseball stadium', 'pharmacy', 'soccer game']",C,"A: The answer must be a place where baseball is a game. Of the above choices, only baseball stadium makes sense. So the answer is (c).",C
"After eating a dinner of uncooked chicken, what was felt by the poor man?","['indigestion', 'died', 'illness', 'feel better', 'throwing up']",C,"A: The answer must be a feeling someone might have from eating uncooked chicken. Of the above choices, the most natural feeling is illness. So the answer is (c).",C
"The obsessive man was always washing hands, he had even done it so much once that it caused a what?","['use soap', 'irritation', 'cleanliness', 'thinking', 'wet towel']",B,"A: The answer must be something that can be caused from washing hands a lot. Of the above choices, irritation is a feeling that can be caused from washing hands a lot. So the answer is (b).",B
"The person is laying on the beach, why would he do that?","['sun himself', 'thank god', 'race against time', 'express love', 'to think about things.']",A,"A: The answer should be a natural and most used answer for someone laying on the beach. Of the above choices, sun himself is the most natural answer. So the answer is (a).",A
"The spoiled child's playroom was massive, but only one of many rooms in the what?","['big house', 'nursery school', 'preschool', 'building', 'retirement home']",A,"A: The answer must be a place where a child might have a massive playroom. Of the above choices, a big house is the most natural place for a child to have a massive playroom. So the answer is (a).",A
"There's a lot to reproducing, but it begins and end with new life by giving what?","['overpopulation', 'birth', 'presents', 'propagation', 'fun']",B,"A: The answer must be something that is the end and the end of reproducing. Of the above choices, birth is the only answer that makes sense. So the answer is (b).",B
Where is known to always have snow?,"['africa', 'north pole', 'roof', 'canada', 'surface of earth']",B,"A: The answer must be a place that is always known to have snow. Of the above choices, the north pole is the only place that is always known to have snow. So the answer is (b).",B
What does someone want when having fun with their friends and trying to fit in?,"['being understood', 'beer', 'playing around', 'hug', 'visiting friends']",A,"(a) being understood
(b) beer
(c) playing around
(d) hug
(e) visiting friends
A: The answer should be something someone might want when trying to fit in with friends. Of the above choices, being understood is the most natural want when trying to fit in. So the answer is (a).",A
"The parents thought their children should learn teamwork, what were they signed up for?","['throw things', 'play sports', 'play games', 'play ball', 'play chess']",B,"A: The answer should be something that requires teamwork. Of the above choices, play sports is the most teamwork. So the answer is (b).",B
If a human is sleepy what can they do to feel more alert?,"['dream dreams', 'think critically', 'cross road', 'drink coffee', 'drive a car']",D,"A: The answer must be something that can give a sleepy human more alert feeling. Of the above choices, only drink coffee is a drink that can give a sleepy human more alert feeling. So the answer is (d).",D
What is a place that could have hundreds of sporting goods store?,"['buy athletic equipment', 'city', 'espn', 'town', 'jerseys']",B,"A: The answer must be a place where you could have a lot of sporting goods store. Of the above choices, a city is the most place to have a lot of sporting goods store. So the answer is (b).",B
"The little girl was raised selfish, she didn't even care when she was doing what?","['crack', 'antipathy', 'being mean', 'disinterest', 'unfeeling']",C,"A: The answer should be something a selfish girl might do and be unfeeling. Of the above choices, being mean is the most natural answer. So the answer is (c).",C
"People want to explore space, so what should they use to do it?","['public place', 'roadblock', 'space shuttle', 'hoverboard', 'supermarket']",C,"A: The answer must be something used to explore space. Of the above choices, only space shuttle is used for space. So the answer is (c).",C
Where might I find unusual varieties of roses?,"['botanic garden', 'flower garden', 'backyard', 'supermarket', 'outdoors']",A,"A: The answer must be a place that might have a lot of unusual varieties of roses. Of the above choices, botanic garden is the most place to find unusual varieties. So the answer is (a).",A
Where would you put a light?,"['ocean', 'desk', 'universe', 'attic', 'chair']",B,"A: The answer must be a place where a light would be used. Of the above choices, desk, attic, and chair are all place where a light might be put. So the answer is (b).",B
What can happen to you when eating hamburger from someone that you do not know that does not happen when you usually eat a hamburger?,"['allergic reaction', 'gain weight', 'have fun', 'heartburn', 'food poisoning']",E,"A: The answer must be something that is a food poisoning. Of the above choices, only food poisoning is a food poisoning. So the answer is (e).",E
When he touched the exposed wire he shouldn't have found it surprising that he got what?,"['see work', 'shocked', 'humor', 'startled', 'funny']",B,"A: The answer must be something that you might feel from an exposed wire. Of the above choices, shocked is the most natural feeling. So the answer is (b).",B
"The priest pushed for more orthodox behavior, what kind of behavior was he trying to stop?","['liberal', 'heretical', 'recalcitrant', 'conservadox', 'heretical']",B,"A: The answer must be behavior that is the most out of place with orthodox behavior. Of the above choices, heretical is the most out of place with orthodox behavior. So the answer is (b).",B
"When they got out of the car in the mountains he felt like he was breathing fresh air for the first time, he began to do what to enjoy it more?","['living', 'feeling good', 'hyperventilate', 'look around', 'breathe deeply']",E,"A: The answer should be something that someone might do to enjoy fresh air. Of the above choices, breathing deeply is the most natural and makes the most sense. So the answer is (e).",E
Where would you get a contraceptive if you do not have one?,"['health center', 'vagina', 'emergency room', 'drawer', 'medicine cabinet']",A,"A: The answer must be a place where you can get contraceptive. Of the above choices, health center is the most place to get a contraceptive. So the answer is (a).",A
Where would a Martian find the Indian Ocean?,"['asia', 'southern hemisphere', 'planet', 'east', 'earth']",E,"A: The answer must be the place where the Indian Ocean is. Of the above choices, only earth is the planet where the Indian Ocean is. So the answer is (e).",E
Where would a ficus plant brighten up a room?,"['middle east', 'palace', 'dictionary', 'pots', 'apartment']",E,"A: The answer must be a place where a ficus plant would be placed. Of the above choices, apartment is the most natural place for a ficus plant. So the answer is (e).",E
Sam found a giant hole in the plain.  What might this hole be called?,"['hill', 'gorge', 'sandplain', 'cliff', 'mountain']",B,"A: The answer must be a natural, giant hole in the plain. Of the above choices, gorge is a natural, giant hole. So the answer is (b).",B
"If I have to keep track of how much oxygen there is, where am I?","['air', 'water', 'earth', 'space shuttle', 'tunnel']",D,"A: The answer must be a place where oxygen is a must and might be in a place where it is in a lot of use. Of the above choices, space shuttle is the most sense. So the answer is (d).",D
"The other passengers on the bus were quite loud, so he put on his headphones to relax and what?","['go to bed', 'sleep', 'listen to music', 'stretch out', 'stop worrying']",C,"A: The answer must be something that headphones are used for to relax. Of the above choices, listen to music is the most natural use for headphones. So the answer is (c).",C
After going for run you have a sense of what?,"['satisfaction', 'flying', 'sweating', 'falling down', 'trip']",A,"A: The answer should be a feeling you have a sense of. Of the above choices, satisfaction is a feeling you might have. So the answer is (a).",A
"In the movie a fragile man is causing accidents, his hope is to find a person opposite of him who is what?","['undestroyable', 'unbreakable', 'indestructible', 'durable', 'invisible']",B,"A: The answer should be a person who is the opposite of fragile. Of the above choices, unbreakable is the closest opposite of fragile. So the answer is (b).",B
Where would you get a bass clarinet to take home?,"['orchestra', 'school band', 'music store', 'opera house', 'home']",C,"A: The answer must be a place where you can get a bass clarinet. Of the above choices, only music store is a place where you can get a bass clarinet. So the answer is (c).",C
What will you need to do to decide whether to be seeing artifacts?,"['learning', 'painful memories', 'thinking', 'awe inspiring', 'pleasure']",C,"A: The answer should be something you do to decide whether you will be seeing artifacts. Of the above choices, thinking is the most natural answer. So the answer is (c).",C
"It was a vast complex, the launch pad was just one part of what?","['movie', 'cape kennedy', 'space center', 'military installation', 'spaceship centre']",C,"A: The answer must be a place that a launch pad is a part of. Of the above choices, space center makes the most sense. So the answer is (c).",C
"An electronics store had things damaged from the rain, where should these things be stored?","['large city', 'strip mall', 'building', 'shopping mall', 'aquarium']",C,"A: The answer must be a place where damaged electronics can be stored. Of the above choices, a building is the most place to store damaged items. So the answer is (c).",C
"If I am suffering from boredom, and I want to do something with a dictionary, what would help?","['do crossword puzzle', 'see art', 'give up', 'grocery shop', 'play chess']",A,"A: The answer must be something you can do with a dictionary. Of the above choices, only crossword puzzle can be used with a dictionary. So the answer is (a).",A
"When he was a small child he called the giraffe mascot a cow, it was a fond memory of the now defunct what?","['toy store', 'story book', 'great outdoors', 'countryside', 'wildlife refuge']",A,"A: The answer must be a place where a giraffe mascot might be. Of the above choices, a toy store is the most place where a giraffe mascot might be. So the answer is (a).",A
"Whether it's popped, grilled, or canned people like to what?","['expect to die', 'believe in god', 'stay in', 'watch movies', 'eat corn']",E,"A: The answer must be something that can be popped, grilled, or canned. Of the above choices, only corn can be popped, grilled, or canned. So the answer is (e).",E
What happens to the conscience of someone who has been caught committing a murder?,"['jail time', 'fear', 'going to prison', 'nothing', 'feeling of guilt']",E,"A: The answer should be the feeling someone might have who has been caught committing murder. Of the above choices, feeling of guilt is the most natural feeling. So the answer is (e).",E
"Having a car in the city seemed to be more trouble than it was worth, the man still had to walk to and from the what after commuting?","['driveway', 'the event', 'scrap heap', 'parking garage', 'repair shop']",D,"A: The answer must be a place the man still had to walk to after commuting. Of the above choices, parking garage makes the most sense. So the answer is (d).",D
Where can the legs of a stool be built?,"['jail', 'internet cafe', ""blacksmith's shop"", 'building', 'bar']",C,"A: The answer must be a place where something is built. Of the above choices, blacksmith's shop is the most place where legs of a stool can be built. So the answer is (c).",C
How might people perceive someone they are scared of?,"['human', 'happy', 'dangerous', 'strange', 'weird']",C,"A: The answer should be a feeling someone might have for someone they are scared of. Of the above choices, dangerous is the most natural feeling to have for someone you are scared of. So the answer is (c).",C
Where would a ticket help you to get to a different country?,"['train station', 'baseball stadium', 'lottery', 'movie', 'bus']",A,"(a)
(b)
(c)
(d)
(e)
A: The answer must be a place where you would get a ticket to go to a different country. Of the above choices, only the train station, bus station, and the (e) are used for getting to different country. So the answer is (a).",A
What are students trying to do?,"['study philosophy', 'become adult', 'ask questions', 'further education', 'study together']",D,"A: The answer should be the most natural and most students' most trying to do. Of the above choices, further education is the most natural answer. So the answer is (d).",D
"The detective had to analyse all the clues, every little thing at the scene he had to what?","['look at', 'write down', 'learn new', 'think about', 'discovery of new']",A,"A: The answer must be something a detective might do with clues. Of the above choices, the most natural answer is look at. So the answer is (a).",A
A person with brown skin may share that skin with whom?,"['finger', 'good health', 'own family', 'friends', 'people']",C,"A: The answer must be someone who can share the skin of a person with brown skin. Of the above choices, own family is the most natural answer. So the answer is (c).",C
"If I screw a chain ring onto something, what am I fixing?","['necklace', 'wall outlet fixture', 'tool box', 'computer', 'motorcycle']",E,"A: The answer must be something that a chain ring is used to. Of the above choices, only a motorcycle is something that a chain ring is used to. So the answer is (e).",E
Where would you put a dictionary while you're using it?,"['library', 'study area', 'table', 'classroom', 'shelf']",C,"A: The answer must be a place where you can use a dictionary. Of the above choices, a table is the most natural place to put a dictionary while using it. So the answer is (c).",C
"A common saying, Sam thought, was to go forth, also this.","['reverse', 'backwards', 'back and', 'back and', 'tally back']",D,"A: The answer should be a common saying that is used with the saying to go forth. Of the above choices, the closest saying is to go forth and back. So the answer is (d).",D
Someone who is awake is likely to know what's going on because they are this?,"['alert', 'deep sleep', 'drink coffee', 'open eyes', 'conscious']",E,"A: The answer must be a feeling of someone who is awake and can know what's going on. Of the above choices, conscious is the feeling of someone who is awake and alert. So the answer is (e).",E
Where would you find some swords in your house?,"['sheath', 'sword closet', 'collection', 'container called scabbard', 'museum']",C,"A: The answer must be a place where swords are put. Of the above choices, collection and sword closet are the most natural. So the answer is (c).",C
"Bill did not abandon the fight, but did what to the enemy?","['arrogate', 'retain', 'embrace', 'smile', 'engage']",E,"A: The answer should be something someone might do in a fight. Of the above choices, engage is the most sense. So the answer is (e).",E
A shower is an expected amenity when you reserve a what?,"['gy mnasiu m', 'motel room', 'seashore', 'bath room', 'locker room']",B,"A: The answer must be a place where a shower is a expected amenity. Of the above choices, motel room is the most expected place to have a shower. So the answer is (b).",B
What do humans do when in a race?,"['lay eggs', 'eat fruit', 'wrestle', 'compete with each other', 'draw pictures']",D,"A: The answer must be something people do in a race. Of the above choices, only compete with each other is something people do in a race. So the answer is (d).",D
"The garage had light sensors and automatic doors, what kind of house was it?","['modern house', 'building', 'townhouse', ""neighbor's house"", 'downtown']",A,"A: The answer should be a kind of house that is modern and might have automatic doors. Of the above choices, modern house makes the most sense. So the answer is (a).",A
Where would you find people gathered near liquid in a workplace?,"['water cooler', 'opera', 'hospital', 'hockey game', 'beach']",A,"A: The answer must be a place where people would be near liquid in a workplace. Of the above choices, water cooler is the most sense. So the answer is (a).",A
Where can you store you tent and keep it on your person?,"['sleep in while camping', 'camp ground', 'woods', 'bag', 'backpack']",E,"A: The answer must be a place to store a tent and keep it on your person. Of the above choices, only backpack makes sense. So the answer is (e).",E
Billy went away because his parents were fighting and he didn't want to stay where?,"['home team', 'present', 'at home', 'come back', 'charming']",C,"A: The answer must be a place where Billy didn't want to stay because his parents were fighting. Of the above choices, at home makes the most sense. So the answer is (c).",C
Where could you find a fox hunting when not in a forest?,"['open meadow', 'arctic tundra', 'beach', 'great outdoors', 'england']",A,"A: The answer must be a place where a fox might be hunting. Of the above choices, open meadow is a place where a fox might be hunting. So the answer is (a).",A
Lindy was a senior.  He lived with his children because he didn't want to go where?,"['republican party', ""old people's home"", 'office', 'park', 'high school or college']",B,"A: The answer must be a place where senior people go to. Of the above choices, only old people's home is a place for senior people. So the answer is (b).",B
What cuisine is joked about eating small dogs?,"['backpack', 'dog show', 'chinese food', 'french', 'good hands']",C,"A: The answer must be a cuisine that is joked about eating small dogs. Of the above choices, only chinese food is joked about eating small dogs. So the answer is (c).",C
A water spout was seen in the ocean off the coast of what?,"['florida', 'basement', 'sink', 'beach', 'fountain']",A,"A: The answer must be a place where you might be off the coast of. Of the above choices, only florida is a place you might be off the coast of. So the answer is (a).",A
The rowdy frat boys shouted they would have fun and do what tonight?,"['do enjoy', 'get laid', 'enjoyable', 'work less', 'enjoy living']",B,"A: The answer should be something rowdy frat boys might do for fun. Of the above choices, get laid is the most in the rowdy frat boys's sense of fun. So the answer is (b).",B
what is the goal of going jogging?,"['heavy breathing', 'feel pride', 'getting tired', 'lose weight', 'run away']",D,"A: The answer should be a goal someone might have for jogging. Of the above choices, lose weight is a goal people have for jogging. So the answer is (d).",D
"John was stuck in his house.  He couldn't get out the door.  He was very frightened when the smoke detectors went off, but luckily it was a false alarm.  Why might he be stuck?","['fire', 'belong to', 'winter storm', 'face south', 'burn down']",C,"A: The answer must be something that can get someone stuck in a house. Of the above choices, a winter storm is the most natural answer. So the answer is (c).",C
The master control for the Tardis is where in the main room?,"['nuclear power plant', 'center', 'basement', 'main office', 'bowel of the ship']",B,"A: The answer must be a place in the main room of the Tardis. Of the above choices, the center is the most natural place for a master control. So the answer is (b).",B
Where would one find a shopping bag for packing groceries?,"['supermarket', 'home', 'closet', 'mart', 'hardware store']",A,"A: The answer must be a place where you would find shopping bag for groceries. Of the above choices, supermarket is the most place to find shopping bag for groceries. So the answer is (a).",A
"There was a show on television about a ranger who loved flowers, but the next day it was about a gardener who also loved flowers.  It was a what?","['countryside', 'anthology', 'dull read', 'state park', 'surface of earth']",B,"A: The answer must be a show that can have a lot of story about a lot of people. Of the above choices, anthology is a show with a lot of story about a lot of people. So the answer is (b).",B
"They wanted to eat at home but the cupboards were barren, so they had to go what?","['cook dinner', 'eat', 'go back to work', 'make food', 'get food']",E,"A: The answer must be what they had to do to get food. Of the above choices, get food makes the most sense. So the answer is (e).",E
How does a flea locomote?,"['attack', 'suck blood', 'stay', 'lay eggs', 'jump']",E,"A: The answer must be a flea's natural, most used, and most natural. Of the above choices, only jump is a flea's natural and most used locomote. So the answer is (e).",E
Where are you likely to find a professional prostitute?,"['new york', 'whorehouse', 'street corner', 'corner of two streets', 'brother']",B,"A: The answer must be a place where professional prostitute might work. Of the above choices, whorehouse is the most likely place. So the answer is (b).",B
What would you do if you have curiosity about something but cannot leave your house?,"['hear testimony', 'go somewhere', 'see exhibits', 'outdoor concert', 'surf net']",E,"A: The answer must be something you can do from home to answer your curiosity. Of the above choices, only surf the net can be used to answer curiosity from home. So the answer is (e).",E
"Sam was against Allison's decision.  Joe was the opposite.  What was Joe, regarding that decision?","['being for', 'away from', 'combined', 'for or', 'conjunction']",A,"A: The answer must be the opposite of being against. Of the above choices, being for is the opposite of being against. So the answer is (a).",A
Why would you not want to be working with wood?,"['blisters', 'frustration', 'being paid', 'make money', 'money']",A,"A: The answer should be a something that is a not a wanted feeling. Of the above choices, blisters are a not wanted feeling. So the answer is (a).",A
"He was good at traditional science but excelled at social science, his favorite subject was what?","['geography', 'history studies', 'math', 'religion', 'dancing']",B,"A: The answer must be a social science. Of the above choices, history studies is a social science. So the answer is (b).",B
"John had a lot of respect for Jill, but not many other people did.  She faced a lot of what?","['ignoring', 'being rude', 'disparagement', 'contumely', 'uncertainty']",C,"A: The answer must be something that someone who is not respect might have to go. Of the above choices, disparagement is the closest to the feeling of not being respect. So the answer is (c).",C
If you have trouble beginning work you're suffering from what?,"['sitting down', 'excitement', 'tiredness', 'progress', 'procrastination']",E,"A: The answer must be something that makes it harder to do work. Of the above choices, procrastination is the most the answer is (e).",E
Why is waiting for the doctor difficult for people who need to do work?,"['having appointements', 'being late', 'have time to think', 'time consuming', 'impatience']",D,"A: The answer should be a difficult for people who need to do work. Of the above choices, time consuming is the most difficult for people who need to do work. So the answer is (d).",D
"If you aren't experiencing curiosity and want to ensure viewing enjoyment, what may you watch?","['examine thing', 'stare into a mirror', 'go somewhere', 'hear news', 'see favorite show']",E,"A: The answer must be something you watch for enjoyment, and you'd watch it for enjoyment, and you'd watch it to be a favorite show. So the answer is (e).",E
What is a lover likely to want to do with their partner?,"['build family together', 'fall in love', 'make love', 'complete', 'distance themselves']",C,"A: The answer must be something a lover might want to do with their partner. Of the above choices, make love is the most likely answer. So the answer is (c).",C
"The sample needed to be pure, but the lab assistant got it what?","['corrupt', 'applied', 'dirty', 'contaminated', 'fresh']",D,"A: The answer must be something that makes the sample dirty. Of the above choices, contaminated is the closest to dirty. So the answer is (d).",D
What treatment might an old time doctor have tried to accomplish with leeches?,"['heart transplant', 'distance himself', 'perform surgery', 'study medicine', 'let blood']",E,"A: The answer must be something that leeches were used for in the old time. Of the above choices, let blood is the only treatment that leeches were used for. So the answer is (e).",E
What does a person looking for new things in life do?,"['become depressed', 'welcome change', 'thank god', 'experiences', 'pay bills']",B,"A: The answer should be something a person does to be looking for new things in life. Of the above choices, welcome change is the most natural answer. So the answer is (b).",B
Where would you put a handle if you want to bring it with you?,"['briefcase', 'coffee cup', 'carry object', 'frying pan', 'on a hat']",A,"A: The answer must be an object that is used to carry something. Of the above choices, briefcase and coffee cup are the most used for carry. So the answer is (a).",A
"They were competing in basketball, the goal was to what?","['bounce the ball', 'competition', 'have fun', 'race', 'score points']",E,"A: The answer must be the goal of a basketball competition. Of the above choices, only score points is the goal of basketball. So the answer is (e).",E
What often happens after a long day of traveling?,"['sickness', 'motion sickness', 'relocation', 'jet lag', 'fatigue']",E,"A: The answer should be a feeling you might have after a long day of traveling. Of the above choices, fatigue is the most natural feeling after traveling. So the answer is (e).",E
"while luck plays a big role, every person who is great at something has focus and what to it?","['hatred', 'surprised', 'compliments', 'dedication', 'solutions']",D,"A: The answer should be something that someone who is great at something has in dedication to it. Of the above choices, dedication is the closest. So the answer is (d).",D
What happens when humans are exposed to noises?,"['pet the dog', 'hear sounds', 'have sex', 'reproduce', 'drive cars']",B,"A: The answer must be a natural and most natural answer to the exposed to noises. Of the above choices, hear sounds is the most natural answer. So the answer is (b).",B
What are you hoping to do when listening to an expert speak?,"['learning', 'fatigue', 'mercy', 'empathy', 'anxiety']",A,"A: The answer should be the feeling of someone listening to an expert speak. Of the above choices, learning is the most natural feeling when listening to an expert. So the answer is (a).",A
Where is a likely place to view an old copy machine?,"['industrial area', 'museum', 'barn', 'school', 'office']",B,"A: The answer should be a place where old copy machine might be used. Of the above choices, museum and office are the most likely. So the answer is (b).",B
"What chore might a child have to do after breakfast, before getting on the bus?","['drop out of school', 'ask questions', 'enter school', 'wash dishes', 'read book']",D,"A: The answer must be a chore that can be do before getting on the bus. Of the above choices, only wash dishes is a chore that can be do before getting on the bus. So the answer is (d).",D
"A large container was a dime a dozen, there were hundreds of rows of them in the giant what?","['factory', 'garden', 'supermarket', 'garage', 'warehouse']",E,"A: The answer must be a place that might have hundreds of rows of large, dime a dozen, container. Of the above choices, warehouse makes the most sense. So the answer is (e).",E
"The snake was a cottonmouth.  It was an American, from where?","['georgia', 'tree', 'nature', 'under the rocks', 'france']",A,"A: The answer must be a place where cottonmouths are from. Of the above choices, only georgia is a place where cottonmouths are from. So the answer is (a).",A
What would you put furniture on top of?,"['roof', 'room', 'floor', 'apartment', ""neighbor's house""]",C,"A: The answer must be a place where furniture is put. Of the above choices, only floor is a place where furniture is put. So the answer is (c).",C
Where can someone view a county highway as a line?,"['from the sky', 'map', 'cross counties by car', 'country', 'michigan']",B,"A: The answer must be a place where a county highway can be view as a line. Of the above choices, only a map can view a county highway as a line. So the answer is (b).",B
Which effect of stress could cause death if not treated immediately?,"['age grieving person', 'heart attacks', 'depression', 'hair loss', 'headache']",B,"A: The answer must be a stress effect that can be immediately and immediately. Of the above choices, heart attacks are the only effect that can be immediately and immediately. So the answer is (b).",B
"A person takes a seat to watch a movie, where is he?","['in cinema', 'at the park', 'martorell', 'jeep', 'airplane']",A,"A: The answer must be a place where people watch a movie. Of the above choices, only cinema is a place where people watch a movie. So the answer is (a).",A
You can read a magazine where while waiting for your transportation on rails to arrive?,"['train station', 'bookstore', 'newsstand', 'waiting room', 'airport']",A,"A: The answer must be a place where people waiting for transportation on rails. Of the above choices, train station is the only place where people waiting for transportation on rails. So the answer is (a).",A
Where might you have cake with your ice cream?,"['earth', 'movie', 'party', 'served cold', 'freezer']",C,"A: The answer must be a place where cake and ice cream are served. Of the above choices, a party is the most place where cake and ice cream are served. So the answer is (c).",C
"A person writes a check to a clerk, where does the clerk put them?","['cash register', 'desk drawer', 'pay envelope', 'throw away', 'box']",A,"A: The answer must be a place where a clerk might put a check. Of the above choices, cash register is the most place where a clerk might put a check. So the answer is (a).",A
Where would you find performers on a platform in public?,"['arena', 'building', 'dock', 'concert hall', 'museum']",A,"(a) street
A: The answer must be a place where performers would be on a platform in public. Of the above choices, street is the most natural place for performers on a platform. So the answer is (a).",A
